lineage,time_bin,pi,n_samples
AY.118,2021-11-08/2021-11-14,0.0005205017745565,37
AY.118,2021-11-15/2021-11-21,0.0005493317281432,25
AY.118,2021-11-22/2021-11-28,0.0005705633658779,42
AY.118,2021-11-29/2021-12-05,0.0006004630024174,32
AY.118,2021-12-06/2021-12-12,0.0006077621992267,24
AY.118,2021-12-13/2021-12-19,0.0006009769753119,24
AY.119,2021-07-12/2021-07-18,0.0001293559799395,14
AY.119,2021-07-19/2021-07-25,0.0001273222443624,41
AY.119,2021-07-26/2021-08-01,0.0001768538788235,40
AY.119,2021-08-02/2021-08-08,0.0002363130205654,64
AY.119,2021-08-09/2021-08-15,0.0002373190557515,30
AY.119,2021-08-16/2021-08-22,0.0002449628182025,29
AY.119,2021-08-23/2021-08-29,0.0003410213348362,41
AY.119,2021-08-30/2021-09-05,0.0003106139279767,37
AY.119,2021-09-06/2021-09-12,0.0003323949138995,42
AY.119,2021-09-13/2021-09-19,0.0003156037855733,32
AY.119,2021-09-20/2021-09-26,0.0003967957935787,40
AY.119,2021-09-27/2021-10-03,0.0003239508943611,44
AY.119,2021-10-04/2021-10-10,0.0003655049569308,47
AY.119,2021-10-11/2021-10-17,0.0004232034332611,42
AY.119,2021-10-18/2021-10-24,0.0003214095947266,45
AY.119,2021-10-25/2021-10-31,0.0004238572442431,36
AY.119,2021-11-01/2021-11-07,0.000430246348716,45
AY.119,2021-11-08/2021-11-14,0.0004190787704769,44
AY.119,2021-11-15/2021-11-21,0.000471150274571,47
AY.119,2021-11-22/2021-11-28,0.0004686248549157,43
AY.119,2021-11-29/2021-12-05,0.0005071842278811,55
AY.119,2021-12-06/2021-12-12,0.0005107125664853,54
AY.119,2021-12-13/2021-12-19,0.0005062881611785,44
AY.119,2021-12-20/2021-12-26,0.0005444504482622,19
AY.119.2,2021-07-26/2021-08-01,9.232751112655558e-05,24
AY.119.2,2021-08-02/2021-08-08,0.0001061513033555,33
AY.119.2,2021-08-09/2021-08-15,0.0001169727284163,22
AY.119.2,2021-08-16/2021-08-22,0.0001767722805529,31
AY.119.2,2021-08-23/2021-08-29,0.0001874701683454,47
AY.119.2,2021-08-30/2021-09-05,0.000193798735399,38
AY.119.2,2021-09-06/2021-09-12,0.0002102179179508,58
AY.119.2,2021-09-13/2021-09-19,0.000218002855698,33
AY.119.2,2021-09-20/2021-09-26,0.0002698144805319,48
AY.119.2,2021-09-27/2021-10-03,0.0003260483997256,54
AY.119.2,2021-10-04/2021-10-10,0.0003048560447041,53
AY.119.2,2021-10-11/2021-10-17,0.0003108676327522,38
